source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
hal,hal-05519464,Open problems in billiards and quantitative symplectic geometry,https://hal.science/hal-05519464v1,2026.0,open problems,doi=10.48550/arXiv.2602.12896 | arxiv=2602.12896 | doctype=UNDEFINED,https://hal.science/hal-05519464v1,https://hal.science/hal-05519464v1/document,hal_document,priority,HAL document endpoint is often direct full text,heuristic,,"[""https://hal.science/hal-05519464v1/document"", ""https://hal.science/hal-05519464v1""]"
hal,hal-03082219,Open Data for Open Questions in Comparative Nutrition,https://hal.science/hal-03082219v1,2020.0,open questions,doi=10.3390/insects11040236 | arxiv=nan | doctype=ART,https://hal.science/hal-03082219v1,https://hal.science/hal-03082219v1/document,hal_document,priority,HAL document endpoint is often direct full text,heuristic,,"[""https://hal.science/hal-03082219v1/document"", ""https://hal.science/hal-03082219v1""]"
