source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
mathoverflow,271981,Are there topological versions of the idea of divisor?,https://mathoverflow.net/questions/271981/are-there-topological-versions-of-the-idea-of-divisor,,soft-question,score=35 | tags=ag.algebraic-geometry|at.algebraic-topology|soft-question|divisors|duality,https://mathoverflow.net/questions/271981/are-there-topological-versions-of-the-idea-of-divisor,https://mathoverflow.net/questions/271981/are-there-topological-versions-of-the-idea-of-divisor,mathoverflow_html,priority,mathoverflow page likely contains problem text directly,heuristic,,"[""https://mathoverflow.net/questions/271981/are-there-topological-versions-of-the-idea-of-divisor""]"
mathoverflow,73001,Is there a smooth $4$-manifold homeomorphic but not diffemorphic to $CP^2$?,https://mathoverflow.net/questions/73001/is-there-a-smooth-4-manifold-homeomorphic-but-not-diffemorphic-to-cp2,,open-problems,score=11 | tags=gt.geometric-topology|4-manifolds|differential-topology|open-problems,https://mathoverflow.net/questions/73001/is-there-a-smooth-4-manifold-homeomorphic-but-not-diffemorphic-to-cp2,https://mathoverflow.net/questions/73001/is-there-a-smooth-4-manifold-homeomorphic-but-not-diffemorphic-to-cp2,mathoverflow_html,priority,mathoverflow page likely contains problem text directly,heuristic,,"[""https://mathoverflow.net/questions/73001/is-there-a-smooth-4-manifold-homeomorphic-but-not-diffemorphic-to-cp2""]"
