source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
dblp,journals/corr/KatzL14a,New Open Problems Related to Old Conjectures by Helleseth.,http://arxiv.org/abs/1412.8530,2014.0,open problems,venue=CoRR | doi=nan,http://arxiv.org/abs/1412.8530,https://arxiv.org/pdf/1412.8530.pdf,arxiv_pdf,priority,dblp has direct arxiv_pdf,heuristic,,"[""http://arxiv.org/abs/1412.8530""]"
dblp,journals/corr/abs-1903-11041,Blockchain Solutions for Multi-Agent Robotic Systems: Related Work and Open Questions.,http://arxiv.org/abs/1903.11041,2019.0,open questions,venue=CoRR | doi=nan,http://arxiv.org/abs/1903.11041,https://arxiv.org/pdf/1903.11041.pdf,arxiv_pdf,priority,dblp has direct arxiv_pdf,heuristic,,"[""http://arxiv.org/abs/1903.11041""]"
