source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
openalex,https://openalex.org/W2773696207,Open Problem Statement: Minimal Distortion Embeddings of Diversities in $\ell_1$,http://arxiv.org/abs/1712.01960,2017.0,open problems,doi=https://doi.org/10.48550/arxiv.1712.01960 | source=arXiv (Cornell University),http://arxiv.org/abs/1712.01960,https://arxiv.org/pdf/1712.01960.pdf,arxiv_pdf,priority,openalex has direct arxiv_pdf,heuristic,,"[""http://arxiv.org/abs/1712.01960"", ""https://doi.org/10.48550/arxiv.1712.01960""]"
openalex,https://openalex.org/W1571772473,Extra extension properties of equidimensional holomorphic mappings: results and open questions,http://arxiv.org/abs/0810.4588,2008.0,open questions,doi=https://doi.org/10.48550/arxiv.0810.4588 | source=ArXiv.org,http://arxiv.org/abs/0810.4588,https://arxiv.org/pdf/0810.4588.pdf,arxiv_pdf,priority,openalex has direct arxiv_pdf,heuristic,,"[""http://arxiv.org/abs/0810.4588"", ""https://doi.org/10.48550/arxiv.0810.4588""]"
