source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
zbmath,6435926,Bubbling solutions for supercritical problems on manifolds,https://zbmath.org/6435926,2015.0,problems on,links=https://doi.org/10.1016/j.matpur.2014.11.004|https://arxiv.org/abs/1403.2513,https://zbmath.org/6435926,https://arxiv.org/pdf/1403.2513.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1016/j.matpur.2014.11.004"", ""https://arxiv.org/abs/1403.2513""]"
zbmath,7741152,Sharp Morrey-Sobolev inequalities and eigenvalue problems on Riemannian-Finsler manifolds with nonnegative Ricci curvature,https://zbmath.org/7741152,2023.0,problems on,links=https://doi.org/10.1142/S0219199722500638|https://arxiv.org/abs/2107.00512|http://real.mtak.hu/151684/1/KMM-Morrey-Sobolev-Hardy.pdf,https://zbmath.org/7741152,https://arxiv.org/pdf/2107.00512.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1142/S0219199722500638"", ""https://arxiv.org/abs/2107.00512"", ""http://real.mtak.hu/151684/1/KMM-Morrey-Sobolev-Hardy.pdf""]"
