source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
aim,http://aimpl.org/stabmirror/,Stability in mirror symmetry,http://aimpl.org/stabmirror/,,,label=open problems | workshop_url=https://aimath.org/pastworkshops/stabmirror.html,http://aimpl.org/stabmirror/,http://aimpl.org/stabmirror/,aim_html,priority,aim page likely contains problem text directly,heuristic,,"[""http://aimpl.org/stabmirror/"", ""https://aimath.org/pastworkshops/stabmirror.html""]"
aim,https://aimath.org/WWN/confstruct/articles/html/30a/,"Conformal structure in geometry, analysis, and physics",https://aimath.org/WWN/confstruct/articles/html/30a/,,,label=Open problems | workshop_url=https://aimath.org/pastworkshops/confstruct.html,https://aimath.org/WWN/confstruct/articles/html/30a/,https://aimath.org/WWN/confstruct/articles/html/30a/,aim_html,priority,aim page likely contains problem text directly,heuristic,,"[""https://aimath.org/WWN/confstruct/articles/html/30a/"", ""https://aimath.org/pastworkshops/confstruct.html""]"
