source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
crossref,10.24425/ather.2020.133633,Energy efficiency – selected thermo-ecological problems,https://doi.org/10.24425/ather.2020.133633,2020.0,selected open problems,container=Archives of Thermodynamics | subjects=nan,https://doi.org/10.24425/ather.2020.133633,https://doi.org/10.24425/ather.2020.133633,doi,second_tier,crossref is DOI/landing-page first,heuristic,,"[""https://doi.org/10.24425/ather.2020.133633""]"
crossref,10.3390/universe7080273,The Swampland Conjectures: A Bridge from Quantum Gravity to Particle Physics,https://doi.org/10.3390/universe7080273,2021.0,problems and conjectures,container=Universe | subjects=nan,https://doi.org/10.3390/universe7080273,https://doi.org/10.3390/universe7080273,doi,second_tier,crossref is DOI/landing-page first,heuristic,,"[""https://doi.org/10.3390/universe7080273""]"
