source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
ddg,https://arxiv.org/pdf/1810.02982,Oberwolfach problem - arXiv.org,https://arxiv.org/pdf/1810.02982,,open problems Oberwolfach pdf,,https://arxiv.org/pdf/1810.02982,https://arxiv.org/pdf/1810.02982.pdf,arxiv_pdf,priority,ddg has direct arxiv_pdf,heuristic,,"[""https://arxiv.org/pdf/1810.02982""]"
ddg,https://arxiv.org/abs/2005.05343,[2005.05343] Intrinsic sign problems in topological quantum,https://arxiv.org/abs/2005.05343,,open problems in low dimensional topology pdf,,https://arxiv.org/abs/2005.05343,https://arxiv.org/pdf/2005.05343.pdf,arxiv_pdf,priority,ddg has direct arxiv_pdf,heuristic,,"[""https://arxiv.org/abs/2005.05343""]"
