source,source_id,title,url,year,phrase,extra
crossref,10.24425/ather.2020.133633,Energy efficiency – selected thermo-ecological problems,https://doi.org/10.24425/ather.2020.133633,2020.0,selected open problems,container=Archives of Thermodynamics | subjects=nan | original_url=https://doi.org/10.24425/ather.2020.133633 | target_kind=doi
crossref,10.3390/universe7080273,The Swampland Conjectures: A Bridge from Quantum Gravity to Particle Physics,https://doi.org/10.3390/universe7080273,2021.0,problems and conjectures,container=Universe | subjects=nan | original_url=https://doi.org/10.3390/universe7080273 | target_kind=doi
