source,source_id,title,url,year,phrase,extra
mathoverflow,271981,Are there topological versions of the idea of divisor?,https://mathoverflow.net/questions/271981/are-there-topological-versions-of-the-idea-of-divisor,,soft-question,score=35 | tags=ag.algebraic-geometry|at.algebraic-topology|soft-question|divisors|duality | original_url=https://mathoverflow.net/questions/271981/are-there-topological-versions-of-the-idea-of-divisor | target_kind=mathoverflow_html
mathoverflow,73001,Is there a smooth $4$-manifold homeomorphic but not diffemorphic to $CP^2$?,https://mathoverflow.net/questions/73001/is-there-a-smooth-4-manifold-homeomorphic-but-not-diffemorphic-to-cp2,,open-problems,score=11 | tags=gt.geometric-topology|4-manifolds|differential-topology|open-problems | original_url=https://mathoverflow.net/questions/73001/is-there-a-smooth-4-manifold-homeomorphic-but-not-diffemorphic-to-cp2 | target_kind=mathoverflow_html
