source,source_id,title,url,year,phrase,extra
openalex,https://openalex.org/W2773696207,Open Problem Statement: Minimal Distortion Embeddings of Diversities in $\ell_1$,https://arxiv.org/pdf/1712.01960.pdf,2017.0,open problems,doi=https://doi.org/10.48550/arxiv.1712.01960 | source=arXiv (Cornell University) | original_url=http://arxiv.org/abs/1712.01960 | target_kind=arxiv_pdf
openalex,https://openalex.org/W1571772473,Extra extension properties of equidimensional holomorphic mappings: results and open questions,https://arxiv.org/pdf/0810.4588.pdf,2008.0,open questions,doi=https://doi.org/10.48550/arxiv.0810.4588 | source=ArXiv.org | original_url=http://arxiv.org/abs/0810.4588 | target_kind=arxiv_pdf
