source,source_id,title,url,year,phrase,extra
core,334925767,A small collection of open problems,https://arxiv.org/pdf/2003.11441.pdf,2020.0,"""collection of open problems""",doi=nan | publisher=nan | original_url=http://arxiv.org/abs/2003.11441 | target_kind=arxiv_pdf
core,42658455,Some recent results and open problems on sets of lengths of Krull monoids with finite class group,https://arxiv.org/pdf/1511.08080.pdf,2015.0,"""open problems"" survey",doi=nan | publisher=nan | original_url=http://arxiv.org/abs/1511.08080 | target_kind=arxiv_pdf
