source,source_id,title,url,year,phrase,extra
ddg,https://arxiv.org/pdf/1810.02982,Oberwolfach problem - arXiv.org,https://arxiv.org/pdf/1810.02982.pdf,,open problems Oberwolfach pdf,original_url=https://arxiv.org/pdf/1810.02982 | target_kind=arxiv_pdf
ddg,https://arxiv.org/abs/2005.05343,[2005.05343] Intrinsic sign problems in topological quantum,https://arxiv.org/pdf/2005.05343.pdf,,open problems in low dimensional topology pdf,original_url=https://arxiv.org/abs/2005.05343 | target_kind=arxiv_pdf
