source,source_id,title,url,year,phrase,extra
zbmath,6435926,Bubbling solutions for supercritical problems on manifolds,https://arxiv.org/pdf/1403.2513.pdf,2015.0,problems on,links=https://doi.org/10.1016/j.matpur.2014.11.004|https://arxiv.org/abs/1403.2513 | original_url=https://zbmath.org/6435926 | target_kind=arxiv_pdf
zbmath,7741152,Sharp Morrey-Sobolev inequalities and eigenvalue problems on Riemannian-Finsler manifolds with nonnegative Ricci curvature,https://arxiv.org/pdf/2107.00512.pdf,2023.0,problems on,links=https://doi.org/10.1142/S0219199722500638|https://arxiv.org/abs/2107.00512|http://real.mtak.hu/151684/1/KMM-Morrey-Sobolev-Hardy.pdf | original_url=https://zbmath.org/7741152 | target_kind=arxiv_pdf
