source,source_id,title,url,year,phrase,extra
dblp,journals/corr/KatzL14a,New Open Problems Related to Old Conjectures by Helleseth.,https://arxiv.org/pdf/1412.8530.pdf,2014.0,open problems,venue=CoRR | doi=nan | original_url=http://arxiv.org/abs/1412.8530 | target_kind=arxiv_pdf
dblp,journals/corr/abs-1903-11041,Blockchain Solutions for Multi-Agent Robotic Systems: Related Work and Open Questions.,https://arxiv.org/pdf/1903.11041.pdf,2019.0,open questions,venue=CoRR | doi=nan | original_url=http://arxiv.org/abs/1903.11041 | target_kind=arxiv_pdf
