source,source_id,title,url,year,phrase,extra
aim,http://aimpl.org/stabmirror/,Stability in mirror symmetry,http://aimpl.org/stabmirror/,,,label=open problems | workshop_url=https://aimath.org/pastworkshops/stabmirror.html | original_url=http://aimpl.org/stabmirror/ | target_kind=aim_html
aim,https://aimath.org/WWN/confstruct/articles/html/30a/,"Conformal structure in geometry, analysis, and physics",https://aimath.org/WWN/confstruct/articles/html/30a/,,,label=Open problems | workshop_url=https://aimath.org/pastworkshops/confstruct.html | original_url=https://aimath.org/WWN/confstruct/articles/html/30a/ | target_kind=aim_html
